topicId,words..
1,expected day dismissal place parliamentary defense support leader scandal term
2,president policy seoul people china north relations powerful administration accept
3,driving back boy goat falcon seat filled video zealand uk
4,trade dollar news australian markets lower date fbi mixed shares
5,north conservative nuclear party polls exit kim presidential http test
6,car years drive christensen cars today diego san future prediction
7,south national pressure washington votes ahead pm democratic results official
8,percent korean closed close yen cnbc comey bank hong higher
9,year told url author wednesday moderate road big january reported
10,moon korea election victory park missile country candidate click sunshine
